MODEL SA230P OPTIONS CH1,MEA,EXC,DGT,CST SERIAL AQ00071865
DRIVER 3.9.20621.38
FIRMWARE Stage1 Version 3.7.393.0, FPGA Firmware Version 3.7.393.70110/AVG.CST.DGT/SFIR, FE CPLD 1/0.4.0.0
IO ControlIO1 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,In-AccumulationEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO2 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AcquisitionActive,In-TriggerEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO3 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AnalyzerArmed,Out-Software,In-Software,In-EnableFirstTrigger
GATE_CAPABILITY ControlIO2 (does not prove first-edge timing or CST operation)
SETUP_APPLIED CST=Triggered gate=ControlIO2 signal=In-TriggerEnable samples=6145216 rate=1e9 threshold_50ohm_V=1
ARMED: waiting for hardware-qualified edges; DIAGNOSTIC ONLY, WAVEFORMS NOT SAVED
record,index,first_sample_s,interval_s,host_elapsed_s,samples,firstElement
1,0,1.838362044,0,0.0082758,6145216,8
2,1,1.844508044,0.006146,0.0143742,6145216,8
3,2,1.851262048,0.006754004,0.0211985,6145216,8
4,3,1.857408052,0.006146004,0.0272637,6145216,8
5,4,1.863554056,0.006146004,0.0333933,6145216,8
6,5,1.869700056,0.006146,0.039532,6145216,8
7,6,1.87584606,0.006146004,0.0457543,6145216,8
8,7,1.881992064,0.006146004,0.0518516,6145216,8
9,8,1.888138064,0.006146,0.0579863,6145216,8
10,9,1.894284068,0.006146004,0.0641099,6145216,8
11,10,1.900430072,0.006146004,0.0702732,6145216,8
12,11,1.906576076,0.006146004,0.0764051,6145216,8
13,12,1.912722076,0.006146,0.08252,6145216,8
14,13,1.91954308,0.006821004,0.0893713,6145216,8
15,14,1.926371084,0.006828004,0.0962562,6145216,8
16,15,1.933199088,0.006828004,0.1030271,6145216,8
17,16,1.940027088,0.006828,0.1098992,6145216,8
18,17,1.947855092,0.007828004,0.117738,6145216,8
19,18,1.954001096,0.006146004,0.1238785,6145216,8
20,19,1.9601471,0.006146004,0.1300086,6145216,8
21,20,1.9662931,0.006146,0.1361674,6145216,8
22,21,1.972439104,0.006146004,0.1423095,6145216,8
