MODEL SA230P OPTIONS CH1,MEA,EXC,DGT,CST SERIAL AQ00071865
DRIVER 3.9.20621.38
FIRMWARE Stage1 Version 3.7.393.0, FPGA Firmware Version 3.7.393.70110/AVG.CST.DGT/SFIR, FE CPLD 1/0.4.0.0
IO ControlIO1 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,In-AccumulationEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO2 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AcquisitionActive,In-TriggerEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO3 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AnalyzerArmed,Out-Software,In-Software,In-EnableFirstTrigger
GATE_CAPABILITY ControlIO2 (does not prove first-edge timing or CST operation)
SETUP_APPLIED CST=Triggered gate=ControlIO2 signal=In-TriggerEnable samples=6150016 rate=1e9 threshold_50ohm_V=1
ARMED: waiting for hardware-qualified edges; DIAGNOSTIC ONLY, WAVEFORMS NOT SAVED
record,index,first_sample_s,interval_s,host_elapsed_s,samples,firstElement
1,0,1.8395476,0,0.008277,6150016,8
2,1,1.845698604,0.006151004,0.0143255,6150016,8
3,2,1.851849608,0.006151004,0.0205231,6150016,8
4,3,1.858000612,0.006151004,0.0266757,6150016,8
5,4,1.864374616,0.006374004,0.033082,6150016,8
6,5,1.87120262,0.006828004,0.0398843,6150016,8
7,6,1.878030624,0.006828004,0.0467321,6150016,8
8,7,1.884858628,0.006828004,0.0535309,6150016,8
9,8,1.891686632,0.006828004,0.0603612,6150016,8
10,9,1.89851464,0.006828008,0.0672142,6150016,8
11,10,1.905342644,0.006828004,0.0740187,6150016,8
12,11,1.912170648,0.006828004,0.0808441,6150016,8
13,12,1.918998652,0.006828004,0.0876793,6150016,8
14,13,1.925826656,0.006828004,0.0944873,6150016,8
15,14,1.93265466,0.006828004,0.10133,6150016,8
16,15,1.939482664,0.006828004,0.1081445,6150016,8
17,16,1.946311672,0.006829008,0.1149739,6150016,8
18,17,1.953139676,0.006828004,0.1218194,6150016,8
19,18,1.95996768,0.006828004,0.1286521,6150016,8
20,19,1.966795684,0.006828004,0.1354738,6150016,8
21,20,1.973623688,0.006828004,0.1423677,6150016,8
22,21,1.980451692,0.006828004,0.149136,6150016,8
23,22,1.987279696,0.006828004,0.155974,6150016,8
24,23,1.994107704,0.006828008,0.1627978,6150016,8
25,24,2.000935708,0.006828004,0.1696147,6150016,8
26,25,2.007763712,0.006828004,0.1764419,6150016,8
27,26,2.014591716,0.006828004,0.1832773,6150016,8
28,27,2.02141972,0.006828004,0.1900868,6150016,8
29,28,2.028247724,0.006828004,0.1969249,6150016,8
30,29,2.035075728,0.006828004,0.2037358,6150016,8
31,30,2.041903732,0.006828004,0.2105924,6150016,8
32,31,2.04873174,0.006828008,0.2174379,6150016,8
33,32,2.055559744,0.006828004,0.2242543,6150016,8
34,33,2.062387748,0.006828004,0.2310653,6150016,8
35,34,2.069216752,0.006829004,0.2378723,6150016,8
36,35,2.076044756,0.006828004,0.2447117,6150016,8
37,36,2.08287276,0.006828004,0.2515688,6150016,8
38,37,2.089700764,0.006828004,0.2583632,6150016,8
39,38,2.096528768,0.006828004,0.2652006,6150016,8
40,39,2.103356776,0.006828008,0.2720348,6150016,8
41,40,2.11018478,0.006828004,0.2789083,6150016,8
42,41,2.117012784,0.006828004,0.2857263,6150016,8
43,42,2.123840788,0.006828004,0.2925668,6150016,8
44,43,2.130668792,0.006828004,0.2993704,6150016,8
45,44,2.137496796,0.006828004,0.3061934,6150016,8
46,45,2.1443248,0.006828004,0.3130184,6150016,8
47,46,2.151152804,0.006828004,0.3198391,6150016,8
48,47,2.157980812,0.006828008,0.3266642,6150016,8
49,48,2.164808816,0.006828004,0.3334769,6150016,8
50,49,2.17163682,0.006828004,0.3403147,6150016,8
51,50,2.178464824,0.006828004,0.3471156,6150016,8
52,51,2.185292828,0.006828004,0.3539625,6150016,8
53,52,2.192121832,0.006829004,0.3607829,6150016,8
54,53,2.198949836,0.006828004,0.3676474,6150016,8
55,54,2.20577784,0.006828004,0.3744475,6150016,8
56,55,2.212605848,0.006828008,0.3812644,6150016,8
57,56,2.219433852,0.006828004,0.3881211,6150016,8
58,57,2.226261856,0.006828004,0.3949423,6150016,8
59,58,2.23308986,0.006828004,0.4017749,6150016,8
60,59,2.239917864,0.006828004,0.4085865,6150016,8
61,60,2.246745868,0.006828004,0.4154095,6150016,8
62,61,2.253573872,0.006828004,0.4222418,6150016,8
63,62,2.260401876,0.006828004,0.4290814,6150016,8
64,63,2.267229884,0.006828008,0.435884,6150016,8
65,64,2.274057888,0.006828004,0.4427287,6150016,8
66,65,2.280885892,0.006828004,0.449575,6150016,8
67,66,2.287713896,0.006828004,0.4563613,6150016,8
68,67,2.2945419,0.006828004,0.4632034,6150016,8
69,68,2.301369904,0.006828004,0.4700359,6150016,8
70,69,2.308198908,0.006829004,0.4768599,6150016,8
71,70,2.315026912,0.006828004,0.4837079,6150016,8
72,71,2.321854916,0.006828004,0.490521,6150016,8
73,72,2.328682924,0.006828008,0.4973626,6150016,8
74,73,2.335510928,0.006828004,0.5041698,6150016,8
75,74,2.342338932,0.006828004,0.5109807,6150016,8
76,75,2.349166936,0.006828004,0.5178649,6150016,8
77,76,2.35599494,0.006828004,0.5246841,6150016,8
78,77,2.362822944,0.006828004,0.5314873,6150016,8
79,78,2.369650948,0.006828004,0.5383148,6150016,8
80,79,2.376478952,0.006828004,0.5451526,6150016,8
81,80,2.383306956,0.006828004,0.5519611,6150016,8
82,81,2.39013496,0.006828004,0.5587895,6150016,8
83,82,2.396962968,0.006828008,0.5656124,6150016,8
84,83,2.403790972,0.006828004,0.5724414,6150016,8
85,84,2.410618976,0.006828004,0.5792837,6150016,8
86,85,2.41744698,0.006828004,0.5861462,6150016,8
87,86,2.424274984,0.006828004,0.5929489,6150016,8
88,87,2.431102988,0.006828004,0.5997614,6150016,8
89,88,2.437931992,0.006829004,0.6065759,6150016,8
90,89,2.444759996,0.006828004,0.613413,6150016,8
91,90,2.451588,0.006828004,0.6202377,6150016,8
92,91,2.458416004,0.006828004,0.6270943,6150016,8
93,92,2.465244012,0.006828008,0.6339303,6150016,8
94,93,2.472072016,0.006828004,0.6407712,6150016,8
95,94,2.47890002,0.006828004,0.6475549,6150016,8
96,95,2.485728024,0.006828004,0.6543858,6150016,8
97,96,2.492556028,0.006828004,0.661203,6150016,8
98,97,2.499384032,0.006828004,0.6680412,6150016,8
99,98,2.506212036,0.006828004,0.6748694,6150016,8
100,99,2.51304004,0.006828004,0.6816866,6150016,8
101,100,2.519868044,0.006828004,0.6885155,6150016,8
102,101,2.526696048,0.006828004,0.6953542,6150016,8
103,102,2.533524052,0.006828004,0.7021824,6150016,8
104,103,2.54035206,0.006828008,0.7090745,6150016,8
105,104,2.547180064,0.006828004,0.7158632,6150016,8
106,105,2.554008068,0.006828004,0.722654,6150016,8
107,106,2.560837072,0.006829004,0.7294779,6150016,8
108,107,2.567665076,0.006828004,0.7363071,6150016,8
109,108,2.57449308,0.006828004,0.7431544,6150016,8
110,109,2.581321084,0.006828004,0.7499649,6150016,8
111,110,2.588149088,0.006828004,0.7567954,6150016,8
112,111,2.594977092,0.006828004,0.7636463,6150016,8
113,112,2.601805096,0.006828004,0.7704745,6150016,8
114,113,2.6086331,0.006828004,0.7772862,6150016,8
115,114,2.615461104,0.006828004,0.7841338,6150016,8
116,115,2.622289112,0.006828008,0.7909939,6150016,8
117,116,2.629117116,0.006828004,0.7977624,6150016,8
118,117,2.63594512,0.006828004,0.8045883,6150016,8
119,118,2.642773124,0.006828004,0.8114185,6150016,8
120,119,2.649601128,0.006828004,0.8182392,6150016,8
121,120,2.656429132,0.006828004,0.8250743,6150016,8
122,121,2.663257136,0.006828004,0.8319006,6150016,8
123,122,2.67008514,0.006828004,0.8387792,6150016,8
124,123,2.676913144,0.006828004,0.8455824,6150016,8
125,124,2.683742148,0.006829004,0.852432,6150016,8
126,125,2.690570152,0.006828004,0.8592563,6150016,8
127,126,2.697398156,0.006828004,0.8660374,6150016,8
128,127,2.704226164,0.006828008,0.8728714,6150016,8
129,128,2.711054168,0.006828004,0.8797375,6150016,8
130,129,2.717882172,0.006828004,0.8865568,6150016,8
131,130,2.724710176,0.006828004,0.8934072,6150016,8
132,131,2.73153818,0.006828004,0.9002029,6150016,8
133,132,2.738366184,0.006828004,0.9070185,6150016,8
134,133,2.745194188,0.006828004,0.9138223,6150016,8
135,134,2.752022192,0.006828004,0.9206557,6150016,8
136,135,2.758850196,0.006828004,0.9275327,6150016,8
137,136,2.7656782,0.006828004,0.9343827,6150016,8
138,137,2.772506204,0.006828004,0.9412086,6150016,8
139,138,2.779334208,0.006828004,0.9479949,6150016,8
140,139,2.786162212,0.006828004,0.954857,6150016,8
141,140,2.792990216,0.006828004,0.9616856,6150016,8
142,141,2.799818224,0.006828008,0.9685045,6150016,8
143,142,2.806647228,0.006829004,0.9753313,6150016,8
144,143,2.813475232,0.006828004,0.9821499,6150016,8
145,144,2.820303236,0.006828004,0.989046,6150016,8
146,145,2.82713124,0.006828004,0.9958131,6150016,8
147,146,2.833959244,0.006828004,1.0026459,6150016,8
148,147,2.840787248,0.006828004,1.0094674,6150016,8
149,148,2.847615252,0.006828004,1.0162602,6150016,8
