MODEL SA230P OPTIONS CH1,MEA,EXC,DGT,CST SERIAL AQ00071865
DRIVER 3.9.20621.38
FIRMWARE Stage1 Version 3.7.393.0, FPGA Firmware Version 3.7.393.70110/AVG.CST.DGT/SFIR, FE CPLD 1/0.4.0.0
IO ControlIO1 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,In-AccumulationEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO2 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AcquisitionActive,In-TriggerEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO3 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AnalyzerArmed,Out-Software,In-Software,In-EnableFirstTrigger
GATE_CAPABILITY ControlIO2 (does not prove first-edge timing or CST operation)
SETUP_APPLIED CST=Triggered gate=ControlIO2 signal=In-TriggerEnable samples=6150016 rate=1e9 threshold_50ohm_V=1
ARMED: waiting for hardware-qualified edges; DIAGNOSTIC ONLY, WAVEFORMS NOT SAVED
record,index,first_sample_s,interval_s,host_elapsed_s,samples,firstElement
WAVE_PREVIEW stride=64 raw_min=-32768 raw_max=-6433 rises=6 approx_frequency_Hz=1000.06400409626 (raw units, not calibrated amplitude; 0 means insufficient crossings)
1,0,1.838654628,0,0.0090685,6150016,8
2,1,1.844805636,0.006151008,0.0143805,6150016,8
3,2,1.85095664,0.006151004,0.020526,6150016,8
4,3,1.857107644,0.006151004,0.0266167,6150016,8
5,4,1.863258648,0.006151004,0.0328065,6150016,8
6,5,1.869409652,0.006151004,0.0389953,6150016,8
7,6,1.87581266,0.006403008,0.0453894,6150016,8
8,7,1.882640664,0.006828004,0.0522146,6150016,8
9,8,1.889468668,0.006828004,0.059147,6150016,8
10,9,1.896296676,0.006828008,0.06584,6150016,8
11,10,1.90312568,0.006829004,0.072697,6150016,8
12,11,1.909953688,0.006828008,0.0795546,6150016,8
13,12,1.916781692,0.006828004,0.0863518,6150016,8
14,13,1.923609696,0.006828004,0.093199,6150016,8
15,14,1.930437704,0.006828008,0.1000553,6150016,8
16,15,1.937265708,0.006828004,0.1069447,6150016,8
17,16,1.944093712,0.006828004,0.1137191,6150016,8
18,17,1.95092172,0.006828008,0.1204793,6150016,8
19,18,1.957749724,0.006828004,0.1272877,6150016,8
20,19,1.964577728,0.006828004,0.1341451,6150016,8
21,20,1.971405736,0.006828008,0.1409487,6150016,8
22,21,1.97823374,0.006828004,0.1477954,6150016,8
23,22,1.985061744,0.006828004,0.1546248,6150016,8
24,23,1.991889752,0.006828008,0.1614957,6150016,8
25,24,1.998717756,0.006828004,0.1682815,6150016,8
26,25,2.005545764,0.006828008,0.1751114,6150016,8
27,26,2.012373768,0.006828004,0.1819358,6150016,8
28,27,2.019202772,0.006829004,0.188783,6150016,8
29,28,2.02603078,0.006828008,0.1955867,6150016,8
30,29,2.032858784,0.006828004,0.2024107,6150016,8
31,30,2.039686788,0.006828004,0.2092344,6150016,8
32,31,2.046514796,0.006828008,0.2160817,6150016,8
33,32,2.0533428,0.006828004,0.2229139,6150016,8
34,33,2.060170804,0.006828004,0.2298134,6150016,8
35,34,2.066998812,0.006828008,0.236612,6150016,8
36,35,2.073826816,0.006828004,0.2434197,6150016,8
37,36,2.08065482,0.006828004,0.250228,6150016,8
38,37,2.087482828,0.006828008,0.2570511,6150016,8
39,38,2.094310832,0.006828004,0.2638755,6150016,8
40,39,2.101138836,0.006828004,0.2707041,6150016,8
41,40,2.107966844,0.006828008,0.2775633,6150016,8
42,41,2.114794848,0.006828004,0.2843742,6150016,8
43,42,2.121622852,0.006828004,0.2912091,6150016,8
44,43,2.12845086,0.006828008,0.2979996,6150016,8
45,44,2.135278864,0.006828004,0.3048545,6150016,8
46,45,2.142107868,0.006829004,0.3116568,6150016,8
47,46,2.148935876,0.006828008,0.318474,6150016,8
48,47,2.15576388,0.006828004,0.3252952,6150016,8
49,48,2.162591884,0.006828004,0.3321468,6150016,8
50,49,2.169419892,0.006828008,0.3389706,6150016,8
51,50,2.176247896,0.006828004,0.3457924,6150016,8
52,51,2.183075904,0.006828008,0.3526385,6150016,8
53,52,2.189903908,0.006828004,0.3594456,6150016,8
54,53,2.196731912,0.006828004,0.366263,6150016,8
55,54,2.20355992,0.006828008,0.3731076,6150016,8
56,55,2.210387924,0.006828004,0.3800529,6150016,8
57,56,2.217215928,0.006828004,0.3868472,6150016,8
58,57,2.224043936,0.006828008,0.3936289,6150016,8
59,58,2.23087194,0.006828004,0.400438,6150016,8
60,59,2.237699944,0.006828004,0.4072692,6150016,8
61,60,2.244527952,0.006828008,0.4140948,6150016,8
62,61,2.251355956,0.006828004,0.4209139,6150016,8
63,62,2.25818496,0.006829004,0.4277549,6150016,8
64,63,2.265012968,0.006828008,0.4345634,6150016,8
65,64,2.271840972,0.006828004,0.4413838,6150016,8
66,65,2.278668976,0.006828004,0.4482133,6150016,8
67,66,2.28549698,0.006828004,0.4550535,6150016,8
68,67,2.292324988,0.006828008,0.4618668,6150016,8
69,68,2.299152992,0.006828004,0.4686987,6150016,8
70,69,2.305980996,0.006828004,0.4755179,6150016,8
71,70,2.312809004,0.006828008,0.4823493,6150016,8
72,71,2.319637008,0.006828004,0.4891649,6150016,8
73,72,2.326465012,0.006828004,0.4959955,6150016,8
74,73,2.33329302,0.006828008,0.5028404,6150016,8
75,74,2.340121024,0.006828004,0.5096833,6150016,8
76,75,2.346949028,0.006828004,0.5164849,6150016,8
77,76,2.353777036,0.006828008,0.5233838,6150016,8
78,77,2.36060504,0.006828004,0.5302012,6150016,8
79,78,2.367433044,0.006828004,0.5369958,6150016,8
80,79,2.374262052,0.006829008,0.5438142,6150016,8
81,80,2.381090056,0.006828004,0.5506165,6150016,8
82,81,2.38791806,0.006828004,0.5574753,6150016,8
83,82,2.394746068,0.006828008,0.5643022,6150016,8
84,83,2.401574072,0.006828004,0.5711403,6150016,8
85,84,2.408402076,0.006828004,0.5779989,6150016,8
86,85,2.415230084,0.006828008,0.5847664,6150016,8
87,86,2.422058088,0.006828004,0.5916011,6150016,8
88,87,2.428886092,0.006828004,0.598435,6150016,8
89,88,2.4357141,0.006828008,0.6052549,6150016,8
90,89,2.442542104,0.006828004,0.6120726,6150016,8
91,90,2.449370108,0.006828004,0.618906,6150016,8
92,91,2.456198116,0.006828008,0.6257441,6150016,8
93,92,2.46302612,0.006828004,0.6325711,6150016,8
94,93,2.469854124,0.006828004,0.6393942,6150016,8
95,94,2.476682132,0.006828008,0.6463077,6150016,8
96,95,2.483510136,0.006828004,0.6530611,6150016,8
97,96,2.49033814,0.006828004,0.6598808,6150016,8
98,97,2.497167148,0.006829008,0.6667068,6150016,8
99,98,2.503995152,0.006828004,0.67353,6150016,8
100,99,2.510823156,0.006828004,0.6803702,6150016,8
101,100,2.51765116,0.006828004,0.6871667,6150016,8
102,101,2.524479168,0.006828008,0.6940022,6150016,8
103,102,2.531307172,0.006828004,0.7008317,6150016,8
104,103,2.538135176,0.006828004,0.7076852,6150016,8
105,104,2.544963184,0.006828008,0.7145021,6150016,8
106,105,2.551791188,0.006828004,0.7213146,6150016,8
107,106,2.558619192,0.006828004,0.728157,6150016,8
108,107,2.5654472,0.006828008,0.7349537,6150016,8
109,108,2.572275204,0.006828004,0.7418232,6150016,8
110,109,2.579103208,0.006828004,0.7486817,6150016,8
111,110,2.585931216,0.006828008,0.7554739,6150016,8
112,111,2.59275922,0.006828004,0.7623055,6150016,8
113,112,2.599587224,0.006828004,0.7692555,6150016,8
114,113,2.606415228,0.006828004,0.7761411,6150016,8
115,114,2.613244236,0.006829008,0.7827821,6150016,8
116,115,2.62007224,0.006828004,0.7896207,6150016,8
117,116,2.626900244,0.006828004,0.7964549,6150016,8
118,117,2.633728252,0.006828008,0.8033382,6150016,8
119,118,2.640556256,0.006828004,0.8100726,6150016,8
120,119,2.64738426,0.006828004,0.8169154,6150016,8
121,120,2.654212268,0.006828008,0.8237412,6150016,8
122,121,2.661040272,0.006828004,0.830566,6150016,8
123,122,2.667868276,0.006828004,0.8373926,6150016,8
124,123,2.67469628,0.006828004,0.8442314,6150016,8
125,124,2.681524288,0.006828008,0.8510494,6150016,8
126,125,2.688352292,0.006828004,0.8578771,6150016,8
127,126,2.695180296,0.006828004,0.864723,6150016,8
128,127,2.702008304,0.006828008,0.8715573,6150016,8
129,128,2.708836308,0.006828004,0.8783701,6150016,8
130,129,2.715664312,0.006828004,0.88524,6150016,8
131,130,2.722492316,0.006828004,0.8920258,6150016,8
132,131,2.729321324,0.006829008,0.8988992,6150016,8
133,132,2.736149328,0.006828004,0.9056924,6150016,8
134,133,2.742977332,0.006828004,0.9125077,6150016,8
135,134,2.74980534,0.006828008,0.9193234,6150016,8
136,135,2.756633344,0.006828004,0.9261628,6150016,8
137,136,2.763461348,0.006828004,0.9329819,6150016,8
138,137,2.770289356,0.006828008,0.9398081,6150016,8
139,138,2.77711736,0.006828004,0.946709,6150016,8
140,139,2.783945364,0.006828004,0.9534494,6150016,8
141,140,2.790773368,0.006828004,0.9602972,6150016,8
142,141,2.797601376,0.006828008,0.9671211,6150016,8
143,142,2.80442938,0.006828004,0.9739572,6150016,8
144,143,2.811257384,0.006828004,0.9807782,6150016,8
145,144,2.818085392,0.006828008,0.9875888,6150016,8
146,145,2.824913396,0.006828004,0.9944382,6150016,8
